,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,MonthClaimed_int,DayOfWeekClaimed_int
0,Oct,4,Tuesday,Chevrolet,Urban,Monday,Jan,1,Male,Married,27,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,77,1,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,1,1
1,Dec,1,Wednesday,Honda,Urban,Monday,Jan,1,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,85,6,400,2,more than 30,more than 30,more than 4,new,16 to 17,No,No,External,none,4 to 8 years,2 vehicles,1994,Liability,1,1
2,Jan,1,Saturday,Chevrolet,Urban,Monday,Jan,1,Male,Married,36,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,189,14,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,1,1
3,Dec,2,Monday,Mazda,Urban,Monday,Jan,1,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,1,190,10,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,1994,All Perils,1,1
4,Dec,3,Thursday,Honda,Urban,Monday,Jan,1,Male,Married,39,Policy Holder,Sport - Collision,Sport,more than 69000,1,195,13,400,3,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,1,1
5,Dec,4,Friday,Mazda,Urban,Monday,Jan,1,Male,Married,38,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,201,10,400,4,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,1,1
6,Dec,4,Thursday,Chevrolet,Urban,Monday,Jan,1,Male,Married,26,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,233,12,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,1,1
7,Dec,5,Friday,Pontiac,Urban,Monday,Jan,1,Male,Single,44,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,256,9,500,2,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,2 to 3 years,1 vehicle,1994,Liability,1,1
8,Dec,4,Monday,VW,Urban,Monday,Jan,1,Male,Married,26,Third Party,Sedan - Collision,Sedan,more than 69000,0,266,5,400,2,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,1,1
9,Dec,3,Wednesday,Honda,Urban,Monday,Jan,1,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,280,12,400,4,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability,1,1
10,Jan,1,Monday,Mazda,Urban,Monday,Jan,1,Female,Single,38,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,287,1,400,1,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,1,1
11,Dec,5,Friday,VW,Urban,Monday,Jan,1,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,1401,6,400,2,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,1,1
12,Dec,5,Friday,Pontiac,Urban,Monday,Jan,1,Female,Single,21,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1516,10,400,4,more than 30,more than 30,more than 4,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1994,Collision,1,1
13,Dec,4,Friday,Chevrolet,Urban,Monday,Jan,1,Male,Married,37,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1954,2,700,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,1994,All Perils,1,1
14,Jan,1,Monday,Mazda,Urban,Monday,Jan,1,Male,Married,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1960,1,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,1,1
15,Dec,5,Wednesday,Pontiac,Urban,Monday,Jan,1,Male,Married,49,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3069,2,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,Internal,none,no change,1 vehicle,1994,Collision,1,1
16,Dec,4,Monday,Honda,Urban,Monday,Jan,1,Male,Married,43,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3145,15,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,1,1
17,Dec,4,Thursday,Pontiac,Urban,Monday,Jan,1,Male,Married,61,Third Party,Sedan - Liability,Sport,more than 69000,0,3146,7,400,4,more than 30,more than 30,2 to 4,6 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Liability,1,1
18,Dec,5,Friday,Chevrolet,Urban,Monday,Jan,1,Male,Married,63,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3300,4,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision,1,1
19,Dec,5,Thursday,Toyota,Urban,Monday,Jan,1,Male,Single,39,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,3443,7,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,1,1
20,Dec,4,Saturday,Chevrolet,Urban,Monday,Jan,1,Male,Married,52,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,3487,11,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,4 to 8 years,2 vehicles,1994,All Perils,1,1
21,Dec,3,Sunday,Honda,Urban,Monday,Jan,1,Male,Single,24,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,3536,1,400,2,more than 30,more than 30,2 to 4,4 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,All Perils,1,1
22,Dec,4,Monday,Chevrolet,Urban,Monday,Jan,1,Male,Single,26,Third Party,Sedan - Liability,Sport,20000 to 29000,0,3571,10,500,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,2 to 3 years,2 vehicles,1994,Liability,1,1
23,Dec,5,Wednesday,Toyota,Urban,Monday,Jan,1,Male,Married,42,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,3620,1,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,1,1
24,Dec,5,Friday,Honda,Urban,Monday,Jan,1,Male,Married,50,Policy Holder,Sport - Collision,Sport,more than 69000,0,3644,5,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,1,1
25,Jan,1,Sunday,VW,Urban,Monday,Jan,1,Male,Single,26,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,3651,2,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,1,1
