features,all_NAs,no_of_NAs,no_of_times_root,tree_0,tree_1,tree_2,tree_3,tree_4,tree_5,tree_6,tree_7,tree_8,tree_9,tree_10,tree_11
Month,False,0,2,",8,10,9,4,5",",9,7,3,5",",2,10,7,9,4",",2,5,9,10,4",",2,4,7,10,8,5,6,3",",2,6,8,4",",6,10,3,4,5",",2,3,4,6,5,10",",0,4,6,7,5,10,8",",0,3,4,5,10,8,6",",2,3,4,5,6,9,8,7",",2,3,4,5,8"
WeekOfMonth,False,0,0,",5,6,10,9,8",",9,10,7,5,8,6",",6,10,8,3,5",",6,10,9,5,3",",8,10,6,9,3",",5,7,9,8",",5,9,10,8",",5,10,8,7",",8,10,5,7,9",",10,7,9,6",",9,8,6,5",",7,9,6,4"
DayOfWeek,False,0,0,",7,9,8,10,6,4",",6,10,9,8,5,7",",8,10,7,3,4",",9,7,8,10,5,2",",10,2,8",",8,6,10,9",",8,6,7,9,10",",9,5,8,4,7",",5,6,8,9,10",",8,7,5,9,10,6",",7,10,5,6,9,4",",9,8,5"
Make,False,0,0,",7,8,9,1,6",",9,4,8,10,5",",9,5,8,10,3",",7,9,6,8,4,10,3",",8,6,7,5",",9,6,1,2",",9,1,2",",6,7,10,5",",9,2,5",",6,9,10,2",",10,9,7,8,5",",10,5,6,8"
AccidentArea,False,1,0,",4,7,8",",5,8,10",",8,9,4",",8,9",",7,6",",6,8,9",NA,",7",",9,5",",6",",8",",10,9"
DayOfWeekClaimed,False,0,0,",7,9,8,10,2",",7,10,8,9,6",",8,9,10,7,6,5,4",",7,8,10,6",",8,6,10",",5,7,10",",5,9,7,10",",10,8,3",",6,8,9,5",",6,8,4,10,9,5",",9,8,6,10",",7,5,8,9,6"
MonthClaimed,False,0,0,",10,9,7,5",",6,7,9,10,8,5,4,3",",5,8,7,9,6,10,3",",8,9,6,10,4,2",",5,6,7,4",",3,6",",2,3,4",",9,4,6,5,10,2",",1,2,8,7,6",",1,2,7",",10,9",",9,8,6,5"
WeekOfMonthClaimed,False,0,0,",8,7,10,9",",10,9,7,3,6",",10,9,8,7",",9,7,8,4",",7",",4,7,10,5",",4,6",",7,9",",8,7,6,10",",8,7,6",",9,7,4",",6,5,3"
Sex,False,4,0,NA,",5",",5",",7,9,10",",10,8",NA,",10",",10",NA,NA,",7,8,4",",9,10"
MaritalStatus,False,3,0,",6,5,8",",8,7",",6",",9,7",",9",NA,NA,",10",",10,5,8",",9,10,5,8",",10,9",NA
Age,False,0,0,",3,5,9,7,10,6,8,2",",5,8,10,6,7,9,3,4,2",",4,6,8,7,9,10",",4,10,9,8",",5,8,9,6,10,7,4",",7,8,5,9,3,6",",7,8,9,6,4,5",",7,8,10,9,6",",7,8,9,4,6,10,5",",4,5,7,8,9,6,10",",8,10,7,5,9,3,6",",6,9,8,3,7,4,10,5"
Fault,False,0,0,",1",",1",",1",",1",",1",",1",",1",",1",",5,9,4,2",",5,9,3,2",",1",",1"
PolicyType,False,1,0,",2,9",",2",",3",",3,7,5",",4",",4",",5,7,8",",9,8,5,7",",2",NA,",10",",7,8"
VehicleCategory,False,7,0,",9",NA,NA,",9",NA,NA,",7",",9,8",NA,NA,",8",NA
VehiclePrice,False,0,0,",6,3,10",",10,9,7,5,3",",7,9,10,4,6",",10,8,7,6",",10,7,8",",8",",9,8",",10,7,9,8,3",",3,7,9,10",",3,7,10",",8,7,10,9,6,5",",6,7,9"
Deductible,False,0,0,",3",",7,8,9,6,2",",3,2",",3",",9,3",",3",",3",",3",",4,5,6",",4,8,6",",5,10,3,4",",10,7"
DriverRating,False,0,0,",6,9,10",",8,10,7,9",",9,8,6,5,7",",10,5,7",",10,8,5,7",",7,10,8,6",",7,8,9,3,4",",9,6",",4",",8,4",",9,6,4,10",",6,10,7"
