,tree_number,feature,feature_number
0,tree_11,Age,1
1,tree_11,Month,2
2,tree_11,Fault,3
3,tree_11,BasePolicy,4
4,tree_11,Make,5
5,tree_11,WeekOfMonth,6
6,tree_11,WeekOfMonthClaimed,7
7,tree_11,DayOfWeekClaimed,8
8,tree_11,NumberOfSuppliments,9
9,tree_11,AddressChange_Claim,10
10,tree_11,AgeOfVehicle,11
11,tree_11,DayOfWeek,12
12,tree_11,MonthClaimed,13
13,tree_11,PastNumberOfClaims,14
14,tree_11,DriverRating,15
15,tree_11,VehiclePrice,16
16,tree_11,PolicyType,17
17,tree_11,PoliceReportFiled,18
18,tree_11,Deductible,19
19,tree_11,AccidentArea,20
20,tree_11,Sex,21
21,tree_11,AgeOfPolicyHolder,22
22,tree_11,NumberOfCars,23
23,tree_11,Days_Policy_Claim,24
24,tree_11,Year,25
25,tree_11,MaritalStatus,26
26,tree_11,WitnessPresent,27
27,tree_11,VehicleCategory,28
28,tree_11,Days_Policy_Accident,29
29,tree_11,AgentType,30
