,tree_number,feature,feature_number
0,tree_11,Age,1
1,tree_11,Month,2
2,tree_11,Fault,3
3,tree_11,BasePolicy,4
4,tree_11,Make,5
5,tree_11,WeekOfMonthClaimed,6
6,tree_11,DayOfWeekClaimed,7
7,tree_11,NumberOfSuppliments,8
8,tree_11,WeekOfMonth,9
9,tree_11,DayOfWeek,10
10,tree_11,AddressChange_Claim,11
11,tree_11,AgeOfVehicle,12
12,tree_11,PastNumberOfClaims,13
13,tree_11,DriverRating,14
14,tree_11,MonthClaimed,15
15,tree_11,VehiclePrice,16
16,tree_11,AccidentArea,17
17,tree_11,VehicleCategory,18
18,tree_11,AgeOfPolicyHolder,19
19,tree_11,PoliceReportFiled,20
20,tree_11,NumberOfCars,21
21,tree_11,Sex,22
22,tree_11,PolicyType,23
23,tree_11,Deductible,24
24,tree_11,Days_Policy_Claim,25
25,tree_11,WitnessPresent,26
26,tree_11,AgentType,27
27,tree_11,MaritalStatus,28
28,tree_11,Year,29
29,tree_11,Days_Policy_Accident,30
