tree_number,feature,feature_number
tree_0,Age,1
tree_0,Fault,2
tree_0,BasePolicy,3
tree_0,WeekOfMonth,4
tree_0,DayOfWeek,5
tree_1,Age,1
tree_1,Fault,2
tree_1,BasePolicy,3
tree_1,DayOfWeek,4
tree_1,MonthClaimed,5
tree_2,Age,1
tree_2,Month,2
tree_2,Fault,3
tree_2,BasePolicy,4
tree_2,WeekOfMonth,5
tree_3,Month,1
tree_3,Age,2
tree_3,BasePolicy,3
tree_3,DayOfWeekClaimed,4
tree_3,DayOfWeek,5
tree_4,Month,1
tree_4,Age,2
tree_4,BasePolicy,3
tree_4,Make,4
tree_4,Fault,5
tree_5,Month,1
tree_5,Age,2
tree_5,BasePolicy,3
tree_5,AddressChange_Claim,4
tree_5,MonthClaimed,5
tree_6,Month,1
tree_6,Age,2
tree_6,BasePolicy,3
tree_6,AddressChange_Claim,4
tree_6,Fault,5
tree_7,Month,1
tree_7,Age,2
tree_7,BasePolicy,3
tree_7,Fault,4
tree_7,DayOfWeek,5
tree_8,Month,1
tree_8,Age,2
tree_8,PastNumberOfClaims,3
tree_8,MonthClaimed,4
tree_8,Fault,5
tree_9,Age,1
tree_9,Month,2
tree_9,MonthClaimed,3
tree_9,Fault,4
tree_9,PastNumberOfClaims,5
tree_10,Age,1
tree_10,Month,2
tree_10,Make,3
tree_10,DayOfWeek,4
tree_10,BasePolicy,5
tree_11,Month,1
tree_11,Age,2
tree_11,BasePolicy,3
tree_11,Fault,4
tree_11,WeekOfMonthClaimed,5
